date,open,high,low,close,volume
2025-06-26,1363.02002,1376.02002,1358.099976,1368.02002,34860.25
2025-06-27,1368.030029,1371.02002,1351.109985,1351.109985,38249.73
2025-06-30,1351.52002,1361.25,1350.02002,1357.540039,30457.3
2025-07-01,1357.02002,1359.959961,1351.329956,1353.119995,19878.19
2025-07-02,1357.52002,1362.819946,1348.02002,1357.619995,26218.25
2025-07-03,1360.02002,1370.709961,1356.02002,1363.619995,24412.67
2025-07-04,1363.719971,1379.910034,1358.030029,1370.23999,28766.91
2025-07-07,1370.300049,1371.52002,1358.030029,1358.719971,23854.67
2025-07-08,1358.72998,1368.02002,1358.719971,1364.130005,18673.7
2025-07-09,1363.02002,1377.98999,1362.189941,1366.900024,27745.32
2025-07-10,1366.98999,1384.199951,1358.420044,1374.52002,38725.03
2025-07-11,1371.180054,1406.02002,1371.180054,1375.02002,57243.35
2025-07-14,1378.02002,1383.0,1369.619995,1371.619995,27780.94
2025-07-15,1369.0,1370.949951,1356.339966,1359.02002,35405.78
2025-07-16,1358.030029,1365.51001,1357.969971,1359.050049,21286.05
2025-07-17,1362.0,1371.030029,1360.900024,1364.369995,23105.54
2025-07-18,1368.02002,1385.829956,1364.400024,1385.02002,41823.41
2025-07-21,1385.01001,1394.819946,1383.02002,1391.02002,26203.31
2025-07-22,1392.02002,1414.619995,1388.699951,1413.0,42118.98
2025-07-23,1417.02002,1443.02002,1416.969971,1423.52002,45044.84
2025-07-24,1424.02002,1447.02002,1423.02002,1439.52002,38803.64
2025-07-25,1439.420044,1439.420044,1401.02002,1403.02002,41911.26
2025-07-28,1401.02002,1403.01001,1384.319946,1386.680054,38586.32
2025-07-29,1387.619995,1396.810059,1383.030029,1387.02002,26304.08
2025-07-30,1392.02002,1405.180054,1385.02002,1397.459961,31867.71
2025-07-31,1391.02002,1392.890015,1366.02002,1369.689941,51797.51
2025-08-01,1369.890015,1373.97998,1362.02002,1365.02002,29635.59
2025-08-04,1363.02002,1367.819946,1362.02002,1367.02002,18687.95
2025-08-05,1369.02002,1377.959961,1365.130005,1375.76001,25342.27
2025-08-06,1377.02002,1377.02002,1367.319946,1371.900024,23699.28
2025-08-07,1371.900024,1375.719971,1368.079956,1370.369995,28001.34
2025-08-08,1371.069946,1374.52002,1366.02002,1368.98999,18655.28
2025-08-11,1371.52002,1400.01001,1371.02002,1393.02002,47159.07
2025-08-12,1397.02002,1413.089966,1384.02002,1385.060059,42019.23
2025-08-13,1373.02002,1381.699951,1368.02002,1368.069946,65527.54
2025-08-14,1368.959961,1395.530029,1368.959961,1375.01001,48129.3
2025-08-15,1374.030029,1376.680054,1368.23999,1370.099976,47581.65
2025-08-18,1375.01001,1384.660034,1371.119995,1376.52002,47377.98
2025-08-19,1381.52002,1394.680054,1380.02002,1386.02002,46371.86
2025-08-20,1386.02002,1400.819946,1378.040039,1398.02002,45804.66
2025-08-21,1401.469971,1403.01001,1391.670044,1396.27002,30890.57
2025-08-22,1396.900024,1412.02002,1392.790039,1411.969971,44970.58
2025-08-25,1418.030029,1444.02002,1414.02002,1438.349976,65324.55
2025-08-26,1438.339966,1442.25,1428.030029,1429.630005,39602.13
2025-08-27,1429.900024,1432.949951,1396.02002,1396.02002,56006.09
2025-08-28,1395.98999,1404.119995,1386.790039,1394.119995,39281.77
2025-08-29,1401.02002,1430.599976,1400.02002,1428.02002,62256.48
2025-09-01,1430.219971,1436.02002,1413.719971,1424.119995,45123.38
2025-09-02,1426.680054,1457.02002,1426.02002,1439.319946,56688.37
2025-09-03,1439.02002,1451.52002,1414.02002,1428.569946,45045.03
2025-09-04,1420.02002,1427.319946,1408.48999,1420.680054,47746.76
2025-09-05,1419.02002,1434.98999,1412.02002,1431.02002,37388.48
2025-09-08,1431.02002,1454.459961,1425.52002,1449.25,51382.98
2025-09-09,1453.02002,1457.969971,1441.439941,1453.02002,35742.77
2025-09-10,1454.680054,1477.969971,1444.02002,1470.030029,49663.31
